Date,Set,Order,LayingDate,Age,TofDay,Complete,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,Stimulus,MinTo30y30,TestEggs,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,FirstHatch(s),FirstHatch(cycles),FirstHatch(s)600,EPPBK,EP3m,PropH,DorsalIMG1,DorsalIMG2,DorsalIMG3,TadLength1,TadLength2,TadLength3
20160719,23,66,20160713,6,6dAM,N,12,0,0,12,156,C422,2,6,s,3.529411765,6,12,5,31,12.09194444,725.5166667,156.0919444,12,5,51,12.0975,725.85,0.333333333,1.176470588,0.333333333,2,2,0.666666667,5869,5870,5872,1.239,1.266,1.202
20160719,23,67,20160713,6,6dAM,N,12,18,0,12.3,156.3,C412,2,5,f,100,4,12,23,22,12.38944444,743.3666667,156.3894444,12,24,18,12.405,744.3,0.933333333,93.33333333,0.933333333,1,1,0.75,5874,5879,5881,1.264,1.218,1.294
20160729,24,68,20160723,6,6dAM,Y,8,59,50,8.997222222,152.9972222,C498,1,11,f,100,6,9,6,34,9.109444444,546.5666667,153.1094444,9,7,5,9.118055556,547.0833333,0.516666667,51.66666667,0.516666667,2,1,0.833333333,6139,6140,6141,1.198,1.235,1.194
20160729,24,69,20160723,6,6dAM,Y,9,18,7,9.301944444,153.3019444,C499,1,15,c,30,5,9,23,39,9.394166667,563.65,153.3941667,9,23,57,9.399166667,563.95,0.3,9,0.3,2,2,0.6,6143,6145,6147,1.276,1.278,1.272
20160729,24,70,20160723,6,6dAM,Y,9,35,4,9.584444444,153.5844444,C499,2,14,s,3.529411765,8,9,40,30,9.675,580.5,153.675,9,41,17,9.688055556,581.2833333,0.783333333,2.764705882,0.783333333,4,3,0.625,6148,6150,6152,1.237,1.232,1.217
20160729,25,71,20160723,6,6dAM,Y,9,51,36,9.86,153.86,C497,2,12,s,3.529411765,6,9,56,38,9.943888889,596.6333333,153.9438889,9,57,30,9.958333333,597.5,0.866666667,3.058823529,0.866666667,2,2,0.666666667,6154,6155,6156,1.258,1.243,1.175
20160729,25,72,20160723,6,6dAM,Y,10,7,13,10.12027778,154.1202778,C500,2,9,f,100,4,10,13,49,10.23027778,613.8166667,154.2302778,10,17,24,10.29,617.4,3.583333333,358.3333333,3.583333333,3,3,0.25,6163,6164,6166,1.271,1.208,1.24
20160729,25,73,20160723,6,6dAM,Y,10,24,57,10.41583333,154.4158333,C496,1,7,c,30,5,10,30,39,10.51083333,630.65,154.5108333,10,30,51,10.51416667,630.85,0.2,6,0.2,1,1,0.8,6168,6169,6170,1.175,1.188,1.186
20160802,26,75,20160727,6,6dAM,Y,9,7,15,9.120833333,153.1208333,C514,2,6,s,3.529411765,4,9,13,38,9.227222222,553.6333333,153.2272222,9,13,58,9.232777778,553.9666667,0.333333333,1.176470588,0.333333333,1,1,0.75,6252,6253,6255,1.189,1.228,1.18
20160802,26,76,20160727,6,6dAM,Y,9,24,12,9.403333333,153.4033333,C513,1,13,f,100,2,9,30,54,9.515,570.9,153.515,9,31,9,9.519166667,571.15,0.25,25,0.25,0,0,1,6256,6257,6258,1.293,1.213,1.287
20160802,26,77,20160727,6,6dAM,Y,9,33,30,9.558333333,153.5583333,C514,1,3,c,30,1,9,38,50,9.647222222,578.8333333,153.6472222,9,39,9,9.6525,579.15,0.316666667,9.5,0.316666667,0,0,1,6259,6260,6262,1.21,1.27,1.228
20160803,27,78,20160728,6,6dAM,Y,9,1,43,9.028611111,153.0286111,C530,2,11,c,30,3,9,7,10,9.119444444,547.1666667,153.1194444,NA,NA,NA,NA,NA,NA,NA,600,3,1,0.666666667,6379,6380,6382,1.222,1.205,1.197
20160803,27,79,20160728,6,6dAM,Y,9,19,37,9.326944444,153.3269444,C528,2,11,f,100,5,9,24,42,9.411666667,564.7,153.4116667,9,25,6,9.418333333,565.1,0.4,40,0.4,1,1,0.8,6384,6387,6388,1.267,1.27,1.275
